Manufacturer,NHTSACampaignNumber,parkIt,parkOutSide,overTheAirUpdate,NHTSAActionNumber,ReportReceivedDate,Component,Summary,Consequence,Remedy,Notes,ModelYear,Make,Model,_query_make,_query_model,_query_year,report_date_iso
Hyundai Motor America,26V254000,False,False,False,,21/04/2026,AIR BAGS:SENSOR:SIDE IMPACT,"Hyundai Motor America (Hyundai) is recalling certain 2025 Elantra N, 2026 Tucson, Tucson Hybrid, Tucson Plug-In Hybrid Electric (PHEV), and Elantra vehicles. The B-pillar impact sensors may have been misassembled, which can delay air bag deployment.",Air bags that do not deploy as intended increase the risk of injury in a crash.,"Dealers will inspect and replace the impact sensor(s), as necessary, free of charge. Owner notification letters were mailed June 11, 2026. Owners may contact Hyundai's customer service at 855-371-9460. Hyundai's number for this recall is 299. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on April 22, 2026.",,2026,HYUNDAI,TUCSON,HYUNDAI,TUCSON,2026,2026-04-21
Hyundai Motor America,26V316000,False,False,False,,19/05/2026,FORWARD COLLISION AVOIDANCE: AUTOMATIC EMERGENCY BRAKING,"Hyundai Motor America (Hyundai) is recalling certain 2025-2026 Santa Cruz, Tucson, Tucson Hybrid, and Tucson Plug-In Hybrid Electric (PHEV) vehicles. Software in the front cameras may cause the forward collision avoidance system to activate prematurely and unexpectedly apply the brakes.",Unexpected braking increases the risk of a crash.,"Dealers will update the front camera software, free of charge. Owner notification letters are expected to be mailed July 17, 2026. Owners may contact Hyundai customer service at 1-855-371-9460. Hyundai's number for this recall is 302. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on May 20, 2026.",,2026,HYUNDAI,TUCSON,HYUNDAI,TUCSON,2026,2026-05-19
Hyundai Motor America,26V400000,False,False,False,,24/06/2026,ELECTRICAL SYSTEM: INSTRUMENT CLUSTER/PANEL,"Hyundai Motor America (Hyundai) is recalling certain 2025-2026 Tucson, Tucson Hybrid, Tucson Plug-In Hybrid Electric (PHEV) vehicles. Due to a software error, the instrument panel display may fail. As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 101, ""Controls and Displays.""","An instrument panel display that fails to show critical safety information, such as the speedometer or warning lights, increases the risk of a crash.","The instrument panel display software will be updated over-the-air (OTA) or by a dealer, free of charge. Owner notification letters are expected to be mailed August 22, 2026. Owners may contact Hyundai's customer service at 855-371-9460. Hyundai's number for this recall is 304. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on June 25, 2026.",,2026,HYUNDAI,TUCSON,HYUNDAI,TUCSON,2026,2026-06-24
Hyundai Motor America,21V00M000,False,False,False,,28/12/2021,VISIBILITY:WINDSHIELD,"Hyundai Motor America (Hyundai) is recalling certain 2020-2021 Santa Fe, 2021 Sonata, and Elantra vehicles.  During manufacturing, the windshield may not have been properly bonded to the vehicle, allowing it to detach in a crash.",A windshield that detaches from a vehicle during a crash can increase the risk of injury.,"Dealers will remove and reinstall the front windshield panel, free of charge.  Owner notification letters were mailed June 20, 2022.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 216.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2020,HYUNDAI,SANTA FE,HYUNDAI,SANTA FE,2020,2021-12-28
Hyundai Motor America,23V181000,False,True,False,,17/03/2023,TRAILER HITCHES,"Hyundai Motor America (Hyundai) is recalling certain 2019-2023 Santa Fe, 2021-2023 Santa Fe HEV, 2022-2023 Santa Fe Plug-in HEV and Santa Cruz vehicles potentially equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Hyundai dealership.  Water accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire.",A fire while parked or driving can increase the risk of injury.,"Owners are advised to park their vehicles outside and away from structures until the remedy is completed.  Dealers will install a new fuse and wire extension kit as necessary, free of charge.  Owner notification letters were mailed starting May 16, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 244.  This recall is an expansion of previous recall number 22V-633.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2020,HYUNDAI,SANTA FE,HYUNDAI,SANTA FE,2020,2023-03-17
Hyundai Motor America,21V524000,False,False,False,,09/07/2021,"FUEL SYSTEM, GASOLINE:DELIVERY:HOSES, LINES/PIPING, AND FITTINGS",Hyundai Motor America (Hyundai) is recalling certain 2021-2022 Santa Fe and Sonata vehicles equipped with 2.5L turbocharged engines.  Fuel may leak at the pipe connection between the high-pressure fuel pump and fuel rail.,A fuel leak increases the risk of a fire.,"Dealers will inspect and tighten, or replace the fuel pipe as necessary, free of charge.  Owner notification letters were mailed on September 3, 2021.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 207.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2021,HYUNDAI,SANTA FE,HYUNDAI,SANTA FE,2021,2021-07-09
Hyundai Motor America,21V00M000,False,False,False,,28/12/2021,VISIBILITY:WINDSHIELD,"Hyundai Motor America (Hyundai) is recalling certain 2020-2021 Santa Fe, 2021 Sonata, and Elantra vehicles.  During manufacturing, the windshield may not have been properly bonded to the vehicle, allowing it to detach in a crash.",A windshield that detaches from a vehicle during a crash can increase the risk of injury.,"Dealers will remove and reinstall the front windshield panel, free of charge.  Owner notification letters were mailed June 20, 2022.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 216.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2021,HYUNDAI,SANTA FE,HYUNDAI,SANTA FE,2021,2021-12-28
Hyundai Motor America,21V185000,False,False,False,,17/03/2021,AIR BAGS: AIR BAG/RESTRAINT CONTROL MODULE,"Hyundai Motor America (Hyundai) is recalling certain 2021 Santa Fe vehicles.  The Occupant Detection System (ODS) module may not deactivate the air bag upon detection of a child restraint system in the front passenger seat.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 208, ""Occupant Crash Protection.""","In the event of a crash, deployment of the front passenger air bag, with a child in that seat, can increase the risk of injury to the child.","Hyundai will notify owners, and dealers will replace the ODS module, free of charge.  All affected vehicles have been remedied as of May 12, 2021.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 202.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",2021,HYUNDAI,SANTA FE,HYUNDAI,SANTA FE,2021,2021-03-17
Hyundai Motor America,21V308000,False,False,False,,03/05/2021,"FUEL SYSTEM, GASOLINE:DELIVERY:HOSES, LINES/PIPING, AND FITTINGS",Hyundai Motor America (Hyundai) is recalling certain 2021 Santa Fe vehicles equipped with 2.5-litre Turbo engines.  The fuel pipe connecting the high pressure fuel pump to the fuel rail may not have been tightened properly.,"An insufficiently tightened fuel pipe may leak fuel, increasing the risk of a fire.","Dealers inspected and tightened the fuel pipe connection, free of charge.  The affected vehicles have been repaired and therefore no owner notification letters will be sent.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 206.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",2021,HYUNDAI,SANTA FE,HYUNDAI,SANTA FE,2021,2021-05-03
Hyundai Motor America,22V746000,False,False,False,,06/10/2022,POWER TRAIN:AUTOMATIC TRANSMISSION,"Hyundai Motor Company (Hyundai) is recalling certain 2021-2022 Santa Fe, Sonata, Veloster N, 2022 Santa Cruz, Elantra N, and Kona N vehicles.  The vehicle's ""fail-safe"" limited-mobility drive mode may be impaired, when prompted by a transmission oil pump malfunction, which can result in a complete loss of drive power.",Loss of drive power increases the risk of a crash.,"Dealers will inspect and replace the transmission, as necessary.  Dealers will also update the transmission control unit software.  All repairs will be performed free of charge.  Owner notification letters were mailed January 10, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 236.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2021,HYUNDAI,SANTA FE,HYUNDAI,SANTA FE,2021,2022-10-06
Hyundai Motor America,23V181000,False,True,False,,17/03/2023,TRAILER HITCHES,"Hyundai Motor America (Hyundai) is recalling certain 2019-2023 Santa Fe, 2021-2023 Santa Fe HEV, 2022-2023 Santa Fe Plug-in HEV and Santa Cruz vehicles potentially equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Hyundai dealership.  Water accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire.",A fire while parked or driving can increase the risk of injury.,"Owners are advised to park their vehicles outside and away from structures until the remedy is completed.  Dealers will install a new fuse and wire extension kit as necessary, free of charge.  Owner notification letters were mailed starting May 16, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 244.  This recall is an expansion of previous recall number 22V-633.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2021,HYUNDAI,SANTA FE,HYUNDAI,SANTA FE,2021,2023-03-17
Hyundai Motor America,24V879000,False,False,False,,21/11/2024,BACK OVER PREVENTION: SENSING SYSTEM: CAMERA,"Hyundai Motor America (Hyundai) is recalling certain 2021-2022 Santa Fe, Santa Fe HEV, Elantra, Elantra HEV and 2022 Elantra N and Santa Fe PHEV vehicles.  Due to a damaged printed circuit board, the rearview camera image may fail to display.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 111, ""Rear Visibility.""",A rearview image that does not display reduces the driver's visibility and increases the risk of a crash.,"Dealers will replace the rearview camera, free of charge.  Owner notification letters were mailed January 14, 2025.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 271.",Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153) or go to nhtsa.gov.,2021,HYUNDAI,SANTA FE,HYUNDAI,SANTA FE,2021,2024-11-21
Hyundai Motor America,21V524000,False,False,False,,09/07/2021,"FUEL SYSTEM, GASOLINE:DELIVERY:HOSES, LINES/PIPING, AND FITTINGS",Hyundai Motor America (Hyundai) is recalling certain 2021-2022 Santa Fe and Sonata vehicles equipped with 2.5L turbocharged engines.  Fuel may leak at the pipe connection between the high-pressure fuel pump and fuel rail.,A fuel leak increases the risk of a fire.,"Dealers will inspect and tighten, or replace the fuel pipe as necessary, free of charge.  Owner notification letters were mailed on September 3, 2021.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 207.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,HYUNDAI,SANTA FE,HYUNDAI,SANTA FE,2022,2021-07-09
